noise,num_samples,strategy,count
10,150,"(1, 1, 1, 0)",1
10,200,"(0, 0, 0, 1)",200
10,200,"(1, 0, 0, 1)",117
10,200,"(0, 0, 1, 0)",200
10,200,"(0, 0, 1, 1)",148
10,200,"(1, 0, 1, 1)",112
10,200,"(0, 1, 0, 0)",102
10,200,"(1, 1, 0, 0)",200
10,200,"(0, 1, 0, 1)",200
10,200,"(0, 1, 1, 0)",153
10,200,"(0, 1, 1, 1)",87
10,200,"(1, 0, 0, 0)",28
10,250,"(0, 0, 0, 1)",200
10,250,"(0, 0, 1, 0)",200
10,250,"(1, 1, 0, 0)",200
10,250,"(0, 1, 0, 1)",200
10,250,"(1, 0, 0, 1)",76
10,250,"(0, 0, 1, 1)",109
10,250,"(0, 1, 1, 0)",117
10,250,"(1, 0, 1, 1)",62
10,250,"(0, 1, 0, 0)",60
10,250,"(0, 1, 1, 1)",57
10,250,"(1, 0, 0, 0)",12
10,300,"(0, 0, 0, 1)",200
10,300,"(0, 0, 1, 0)",200
10,300,"(1, 1, 0, 0)",200
10,300,"(0, 1, 0, 1)",200
10,300,"(1, 0, 0, 0)",10
10,300,"(1, 0, 0, 1)",43
10,300,"(0, 0, 1, 1)",66
10,300,"(1, 0, 1, 1)",33
10,300,"(0, 1, 0, 0)",31
10,300,"(0, 1, 1, 0)",74
10,300,"(0, 1, 1, 1)",28
10,350,"(0, 0, 0, 1)",200
10,350,"(1, 0, 0, 1)",29
10,350,"(0, 0, 1, 0)",200
10,350,"(0, 0, 1, 1)",48
10,350,"(1, 1, 0, 0)",200
10,350,"(0, 1, 0, 1)",200
10,350,"(0, 1, 1, 0)",52
10,350,"(1, 0, 1, 1)",27
10,350,"(1, 0, 0, 0)",4
10,350,"(0, 1, 0, 0)",17
10,350,"(0, 1, 1, 1)",23
10,400,"(0, 0, 0, 1)",200
10,400,"(0, 0, 1, 0)",200
10,400,"(1, 1, 0, 0)",200
10,400,"(0, 1, 0, 1)",200
10,400,"(1, 0, 0, 1)",21
10,400,"(0, 1, 1, 0)",37
10,400,"(0, 0, 1, 1)",33
10,400,"(1, 0, 0, 0)",1
10,400,"(1, 0, 1, 1)",15
10,400,"(0, 1, 0, 0)",14
10,400,"(0, 1, 1, 1)",9
10,450,"(0, 0, 0, 1)",200
10,450,"(0, 0, 1, 0)",200
10,450,"(1, 1, 0, 0)",200
10,450,"(0, 1, 0, 1)",200
10,450,"(1, 0, 0, 0)",1
10,450,"(1, 0, 0, 1)",10
10,450,"(0, 0, 1, 1)",14
10,450,"(1, 0, 1, 1)",6
10,450,"(0, 1, 0, 0)",2
10,450,"(0, 1, 1, 0)",17
10,450,"(0, 1, 1, 1)",2
10,500,"(0, 0, 0, 1)",200
10,500,"(0, 0, 1, 0)",200
10,500,"(1, 1, 0, 0)",200
10,500,"(0, 1, 0, 1)",200
10,500,"(0, 0, 1, 1)",18
10,500,"(0, 1, 1, 1)",4
10,500,"(0, 1, 0, 0)",4
10,500,"(0, 1, 1, 0)",17
10,500,"(1, 0, 0, 1)",4
10,500,"(1, 0, 1, 1)",4
