noise,num_samples,strategy,count
5,100,"(0, 0, 1, 1, 1)",147
5,100,"(1, 0, 1, 1, 1)",152
5,100,"(0, 1, 0, 0, 0)",94
5,100,"(1, 1, 0, 0, 0)",96
5,100,"(0, 1, 0, 0, 1)",93
5,100,"(1, 1, 0, 0, 1)",160
5,100,"(0, 1, 0, 1, 0)",150
5,100,"(1, 1, 0, 1, 0)",99
5,100,"(0, 1, 0, 1, 1)",200
5,100,"(1, 1, 0, 1, 1)",200
5,100,"(0, 1, 1, 0, 0)",88
5,100,"(1, 1, 1, 0, 0)",57
5,100,"(0, 1, 1, 0, 1)",89
5,100,"(1, 1, 1, 0, 1)",95
5,100,"(0, 1, 1, 1, 0)",89
5,100,"(1, 1, 1, 1, 0)",57
5,100,"(0, 1, 1, 1, 1)",155
5,100,"(1, 1, 1, 1, 1)",93
5,150,"(0, 0, 0, 1, 0)",133
5,150,"(1, 0, 0, 1, 0)",141
5,150,"(1, 0, 0, 1, 1)",199
5,150,"(0, 0, 1, 1, 0)",126
5,150,"(0, 0, 1, 1, 1)",133
5,150,"(1, 0, 1, 1, 1)",145
5,150,"(1, 1, 0, 0, 1)",143
5,150,"(0, 1, 0, 1, 0)",137
5,150,"(0, 1, 0, 1, 1)",200
5,150,"(1, 1, 0, 1, 1)",200
5,150,"(0, 1, 1, 1, 1)",139
5,150,"(1, 0, 0, 0, 1)",80
5,150,"(1, 0, 1, 0, 1)",80
5,150,"(1, 1, 0, 0, 0)",77
5,150,"(0, 1, 0, 0, 1)",79
5,150,"(1, 1, 1, 0, 1)",82
5,150,"(0, 1, 1, 1, 0)",78
5,150,"(1, 0, 0, 0, 0)",83
5,150,"(0, 0, 0, 1, 1)",77
5,150,"(1, 0, 1, 0, 0)",73
5,150,"(1, 0, 1, 1, 0)",72
5,150,"(0, 1, 0, 0, 0)",78
5,150,"(1, 1, 0, 1, 0)",81
5,150,"(0, 1, 1, 0, 0)",73
5,150,"(0, 1, 1, 0, 1)",79
5,150,"(1, 1, 1, 1, 1)",79
5,150,"(0, 0, 0, 0, 0)",49
5,150,"(0, 0, 0, 0, 1)",45
5,150,"(0, 0, 1, 0, 0)",50
5,150,"(0, 0, 1, 0, 1)",51
5,150,"(1, 1, 1, 0, 0)",47
5,150,"(1, 1, 1, 1, 0)",51
5,200,"(1, 0, 0, 0, 0)",59
5,200,"(1, 0, 0, 0, 1)",59
5,200,"(0, 0, 0, 1, 0)",112
5,200,"(1, 0, 0, 1, 0)",119
5,200,"(1, 0, 0, 1, 1)",195
5,200,"(0, 0, 1, 1, 0)",111
5,200,"(0, 0, 1, 1, 1)",108
5,200,"(1, 0, 1, 1, 1)",124
5,200,"(0, 1, 0, 0, 0)",63
5,200,"(1, 1, 0, 0, 0)",60
5,200,"(0, 1, 0, 0, 1)",61
5,200,"(1, 1, 0, 0, 1)",118
5,200,"(0, 1, 0, 1, 0)",116
5,200,"(0, 1, 0, 1, 1)",191
5,200,"(1, 1, 0, 1, 1)",200
5,200,"(0, 1, 1, 0, 0)",56
5,200,"(1, 1, 1, 0, 1)",59
5,200,"(0, 1, 1, 1, 1)",119
5,200,"(1, 1, 1, 1, 1)",66
5,200,"(0, 0, 0, 1, 1)",59
5,200,"(1, 0, 1, 0, 0)",55
5,200,"(1, 0, 1, 0, 1)",58
5,200,"(1, 0, 1, 1, 0)",58
5,200,"(1, 1, 0, 1, 0)",60
5,200,"(0, 1, 1, 0, 1)",59
5,200,"(0, 1, 1, 1, 0)",58
5,200,"(0, 0, 0, 0, 0)",30
5,200,"(0, 0, 1, 0, 0)",33
5,200,"(0, 0, 0, 0, 1)",29
5,200,"(0, 0, 1, 0, 1)",32
5,200,"(1, 1, 1, 0, 0)",31
5,200,"(1, 1, 1, 1, 0)",31
5,250,"(1, 0, 0, 1, 1)",185
5,250,"(0, 1, 0, 1, 0)",80
5,250,"(0, 1, 0, 1, 1)",190
5,250,"(1, 1, 0, 1, 1)",200
5,250,"(0, 0, 0, 1, 0)",75
5,250,"(1, 0, 0, 1, 0)",83
5,250,"(0, 0, 1, 1, 1)",79
5,250,"(1, 0, 1, 1, 1)",82
5,250,"(1, 1, 0, 0, 1)",79
5,250,"(0, 1, 1, 1, 1)",76
5,250,"(1, 0, 0, 0, 0)",44
5,250,"(1, 0, 0, 0, 1)",41
5,250,"(0, 0, 0, 1, 1)",39
5,250,"(1, 0, 1, 0, 0)",39
5,250,"(1, 0, 1, 0, 1)",43
5,250,"(0, 0, 1, 1, 0)",76
5,250,"(1, 0, 1, 1, 0)",39
5,250,"(0, 1, 0, 0, 0)",41
5,250,"(0, 1, 0, 0, 1)",40
5,250,"(0, 1, 1, 0, 0)",39
5,250,"(0, 1, 1, 0, 1)",41
5,250,"(1, 1, 1, 0, 1)",40
5,250,"(0, 1, 1, 1, 0)",39
5,250,"(1, 1, 1, 1, 1)",43
5,250,"(0, 0, 0, 0, 0)",16
5,250,"(0, 0, 0, 0, 1)",14
5,250,"(0, 0, 1, 0, 0)",15
5,250,"(0, 0, 1, 0, 1)",15
5,250,"(1, 1, 0, 0, 0)",39
5,250,"(1, 1, 0, 1, 0)",39
5,250,"(1, 1, 1, 0, 0)",14
5,250,"(1, 1, 1, 1, 0)",14
5,300,"(1, 0, 0, 1, 1)",182
5,300,"(0, 1, 0, 1, 1)",174
5,300,"(1, 1, 0, 1, 1)",200
5,300,"(0, 0, 0, 1, 0)",82
5,300,"(1, 0, 0, 1, 0)",85
5,300,"(0, 0, 1, 1, 0)",79
5,300,"(0, 0, 1, 1, 1)",81
5,300,"(1, 0, 1, 1, 1)",86
5,300,"(1, 1, 0, 0, 1)",85
5,300,"(0, 1, 0, 1, 0)",81
5,300,"(0, 1, 1, 1, 1)",87
5,300,"(1, 0, 1, 0, 1)",39
5,300,"(1, 1, 0, 0, 0)",37
5,300,"(1, 0, 0, 0, 0)",41
5,300,"(1, 0, 0, 0, 1)",36
5,300,"(0, 0, 0, 1, 1)",37
5,300,"(1, 0, 1, 0, 0)",36
5,300,"(1, 0, 1, 1, 0)",35
5,300,"(0, 1, 0, 0, 0)",38
5,300,"(0, 1, 0, 0, 1)",39
5,300,"(1, 1, 0, 1, 0)",39
5,300,"(0, 1, 1, 0, 0)",34
5,300,"(0, 1, 1, 0, 1)",38
5,300,"(1, 1, 1, 0, 1)",39
5,300,"(0, 1, 1, 1, 0)",37
5,300,"(1, 1, 1, 1, 1)",39
5,300,"(0, 0, 0, 0, 0)",8
5,300,"(0, 0, 0, 0, 1)",7
5,300,"(0, 0, 1, 0, 0)",8
5,300,"(0, 0, 1, 0, 1)",8
5,300,"(1, 1, 1, 0, 0)",7
5,300,"(1, 1, 1, 1, 0)",7
5,350,"(0, 0, 0, 1, 0)",64
5,350,"(1, 0, 0, 1, 0)",72
5,350,"(1, 0, 0, 1, 1)",171
5,350,"(0, 0, 1, 1, 0)",67
5,350,"(0, 0, 1, 1, 1)",67
5,350,"(1, 0, 1, 1, 1)",73
5,350,"(1, 1, 0, 0, 1)",72
5,350,"(0, 1, 0, 1, 0)",69
5,350,"(0, 1, 0, 1, 1)",170
5,350,"(1, 1, 0, 1, 1)",200
5,350,"(0, 1, 1, 1, 1)",69
5,350,"(0, 1, 1, 0, 1)",25
5,350,"(1, 1, 0, 0, 0)",26
5,350,"(0, 1, 0, 0, 1)",24
5,350,"(0, 0, 0, 0, 0)",8
5,350,"(1, 0, 0, 0, 0)",28
5,350,"(0, 0, 0, 0, 1)",7
5,350,"(1, 0, 0, 0, 1)",30
5,350,"(0, 0, 0, 1, 1)",23
5,350,"(0, 0, 1, 0, 0)",9
5,350,"(1, 0, 1, 0, 0)",23
5,350,"(0, 0, 1, 0, 1)",8
5,350,"(1, 0, 1, 0, 1)",27
5,350,"(1, 0, 1, 1, 0)",22
5,350,"(0, 1, 0, 0, 0)",25
5,350,"(1, 1, 0, 1, 0)",26
5,350,"(0, 1, 1, 0, 0)",22
5,350,"(1, 1, 1, 0, 0)",9
5,350,"(1, 1, 1, 0, 1)",26
5,350,"(0, 1, 1, 1, 0)",23
5,350,"(1, 1, 1, 1, 0)",8
5,350,"(1, 1, 1, 1, 1)",28
5,400,"(1, 0, 0, 1, 1)",172
5,400,"(0, 1, 0, 1, 1)",169
